Release,Hardware arch,Patch,Comment,Category
2.2,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.2/common/ipsec.patch,,Security
2.2,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.2/common/xterm-xaw.patch,,Security
2.2,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.2/common/rmjob.patch,,Security
2.2,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.2/common/uucpd.patch,,Security
2.2,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.2/common/named.patch,,Security
2.2,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.2/common/ping.patch,,Security
2.2,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.2/common/sourceroute.patch,,Security
2.2,All,"https://ftp.openbsd.org/pub/OpenBSD/patches/2.2/common/nosuidcoredump.patch, https://ftp.openbsd.org/pub/OpenBSD/patches/2.2/common/rcmd.patch",,Security
2.2,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.2/common/vm_mmap.patch,,Security
2.2,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.2/common/readlink.c,,Build process fix
2.2,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.2/common/mountd.patch,,Security
2.2,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.2/common/send.patch,,Reliability
2.2,i386,https://ftp.openbsd.org/pub/OpenBSD/patches/2.2/i386/f00f.patch,,Reliability
2.2,i386,https://ftp.openbsd.org/pub/OpenBSD/patches/2.2/i386/compat_linux.patch,,Functionality
2.2,i386,https://ftp.openbsd.org/pub/OpenBSD/patches/2.2/i386/apm.patch,,Reliability
2.2,All,-,,Installation process flaw
2.2,mac68k,-,,New software
2.2,mac68k,-,,Installation process flaw
2.2,sparc,https://ftp.OpenBSD.org/pub/OpenBSD/patches/2.2/sparc/esp.patch,,Reliability
2.2,sparc,https://ftp.OpenBSD.org/pub/OpenBSD/patches/2.2/sparc/sun4m.patch,,Reliability
2.2,amiga,-,,Functionality
2.2,All,-,,Functionality
2.2,pmax,https://ftp.openbsd.org/pub/OpenBSD/patches/2.2/pmax/clock.patch,,Functionality
2.2,pmax,https://ftp.openbsd.org/pub/OpenBSD/patches/2.2/pmax/fb.patch,,Functionality
2.2,pmax,-,duplicate issue,Security
2.2,pmax,-,,Security
2.2,All,-,,Missing functionality
2.3,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.3/common/bootpd.patch,,Security
2.3,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.3/common/tcpfix.patch,,Security
2.3,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.3/common/acd.patch,,Hardware support
2.3,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.3/common/chpass.patch,,Security
2.3,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.3/common/resid.patch,,Reliability
2.3,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.3/common/inetd.patch,,Security
2.3,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.3/common/unionfs.patch,,Bug fix
2.3,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.3/common/fdalloc.patch,,Security
2.3,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.3/common/resolver.patch,,Security
2.3,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.3/common/XFree86-3.3.2.2.patch,,Security
2.3,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.3/common/kill.patch,,Security
2.3,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.3/common/immutable.patch,,Security
2.3,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.3/common/ipsec.patch,,Security
2.3,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.3/common/xterm-xaw.patch,,Security
2.3,All,-,,Reliability
2.3,i386,-,,Corrupted file
2.3,i386,https://ftp.openbsd.org/pub/OpenBSD/patches/2.3/i386/pcvt.patch,,Reliability
2.3,sparc,https://ftp.openbsd.org/pub/OpenBSD/patches/2.3/sparc/iommureg.patch,,Reliability
2.3,All,-,,Minor incompatibility
2.3,All,-,,Release warning
2.3,All,-,,X11 release error
2.3,All,-,,X11 release error
2.3,All,-,,Installation process flaw
2.3,All,-,,Release warning
2.3,All,-,,X11 release error
2.3,All,-,,Release warning
2.3,All,-,,Release warning
2.3,All,-,,Release warning
2.3,powerpc,-,,Security
2.4,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.4/common/bmap.patch,,Functionality
2.4,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.4/common/lnpanic.patch,,Functionality
2.4,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.4/common/poll.patch,,Security
2.4,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.4/common/nlink.patch,,Security
2.4,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.4/common/ping.patch,,Security
2.4,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.4/common/ipqrace.patch,,Security
2.4,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.4/common/accept.patch,,Security
2.4,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.4/common/maxqueue.patch,,Security
2.4,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.4/common/uio.patch,,Functionality
2.4,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.4/common/rst.patch,,Security
2.4,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.4/common/kvm_mkdb.patch,,Functionality
2.4,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.4/common/nfs3_solaris7.patch,,Functionality
2.4,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.4/common/nfs3.patch,,Functionality
2.4,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.4/common/termcap.patch,,Security
2.4,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.4/common/terminfo.src.patch,,Functionality
2.4,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.4/common/userdir.patch,,Functionality
2.4,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.4/common/bootpd.patch,,Security
2.4,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.4/common/tcpfix.patch,,Security
2.4,i386,https://ftp.openbsd.org/pub/OpenBSD/patches/2.4/i386/tss.patch,,Security
2.4,i386,https://ftp.openbsd.org/pub/OpenBSD/patches/2.4/i386/bootargv.patch,,Functionality
2.4,i386,https://ftp.openbsd.org/pub/OpenBSD/patches/2.4/i386/trctrap.patch,,Security
2.4,i386,https://ftp.openbsd.org/pub/OpenBSD/patches/2.4/i386/installboot.patch,,Functionality
2.4,sparc,https://ftp.openbsd.org/pub/OpenBSD/patches/2.4/sparc/hme.patch,,Driver
2.4,sparc,https://ftp.openbsd.org/pub/OpenBSD/patches/2.4/sparc/le.patch,,Driver
2.4,All,-,,Functionality
2.5,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.5/common/012_cron.patch,,Security
2.5,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.5/common/011_miscfs.patch,,Security
2.5,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.5/common/010_profil.patch,,Security
2.5,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.5/common/009_ipsec_in_use.patch,,Security
2.5,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.5/common/008_rc.patch,,Security
2.5,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.5/common/007_chflags.patch,,Security
2.5,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.5/common/006_nroff.patch,,Security
